,timeus,volt,voltr,curr,currtot,enrgtot,temp,res,vcc,vservo,flags,safety
0,3017111656.0,24.88706,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,5.02251,1.815,1.0,6.0
1,3017254234.0,24.87618,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.890381,1.29,1.0,6.0
2,3017354118.0,24.84841,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,5.133691,1.817,1.0,6.0
3,3017454143.0,24.83313,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.874268,1.817,1.0,6.0
4,3017554254.0,24.87052,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.80498,0.447,1.0,6.0
5,3017654264.0,24.87447,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.904883,0.739,1.0,6.0
6,3017754188.0,24.86324,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.796924,1.817,1.0,6.0
7,3017854265.0,24.8547,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,5.122412,0.439,1.0,6.0
8,3017954555.0,24.86324,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.904883,0.739,1.0,6.0
9,3018054767.0,24.86189,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,5.125635,1.278,1.0,6.0
10,3018155059.0,24.86971,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.861377,1.817,1.0,6.0
11,3018255373.0,24.86638,25.10232,0.0,0.8211982,0.02050288,0.0,58.03526,4.903271,1.817,1.0,6.0
12,3018355732.0,23.93456,25.14808,2.293901,0.8853745,0.02203891,0.0,0.5290231,4.970947,1.817,1.0,6.0
13,3018456059.0,23.67812,25.14317,7.921205,1.105296,0.02724623,0.0,0.1849533,4.653515,1.812,1.0,6.0
14,3018556286.0,23.84153,24.48742,3.437639,1.20114,0.02953131,0.0,0.1878902,4.937109,0.483,1.0,6.0
15,3018656447.0,23.98911,24.24868,1.381481,1.239502,0.03045158,0.0,0.1878902,4.635791,0.8190001,1.0,6.0
16,3018756683.0,24.0017,24.1013,0.5301032,1.254326,0.03080737,0.0,0.1878902,4.985449,1.397,1.0,6.0
17,3018856875.0,23.98911,24.2185,1.220844,1.288147,0.03161872,0.0,0.1878902,4.661572,1.817,1.0,6.0
18,3018957282.0,24.02111,24.21428,1.028079,1.317018,0.03231224,0.0,0.1878902,4.882324,0.831,1.0,6.0
19,3019058086.0,24.01159,24.1806,0.899569,1.342138,0.03291541,0.0,0.1878902,4.724414,0.488,1.0,6.0
20,3019158637.0,24.01338,24.17436,0.8567324,1.366077,0.03349026,0.0,0.1878902,4.890381,1.817,1.0,6.0
21,3019258767.0,24.05347,24.23819,0.9831005,1.393299,0.03414504,0.0,0.1878902,4.766308,1.817,1.0,6.0
22,3019359069.0,24.03586,24.20756,0.9138479,1.418885,0.03476002,0.0,0.1878902,4.988672,0.488,1.0,6.0
23,3019459348.0,24.0195,24.16678,0.7839101,1.440613,0.03528191,0.0,0.1878902,4.851709,0.826,1.0,6.0
24,3019560332.0,24.04053,24.19325,0.8128248,1.463697,0.03583686,0.0,0.1878902,4.676074,1.38,1.0,6.0
25,3019661315.0,24.0035,24.12892,0.6675373,1.482192,0.03628081,0.0,0.1878902,4.711524,1.817,1.0,6.0
26,3019761340.0,24.05563,24.21153,0.8317444,1.505395,0.03683898,0.0,0.1874384,4.627734,1.817,1.0,6.0
27,3019861354.0,24.00574,24.13522,0.6907405,1.524508,0.0372978,0.0,0.1874384,4.980615,0.483,1.0,6.0
28,3019961123.0,24.04035,24.1909,0.8031866,1.546806,0.03783384,0.0,0.1874384,4.656738,0.809,1.0,6.0
29,3020061194.0,24.02597,24.1723,0.7806973,1.56852,0.03835554,0.0,0.1874384,4.987061,1.817,1.0,6.0
30,3020161192.0,24.03406,24.17323,0.7425014,1.589121,0.03885067,0.0,0.1874384,4.811426,1.812,1.0,6.0
31,3020261109.0,24.06911,24.232,0.8674415,1.61323,0.03943095,0.0,0.1877844,4.871045,1.815,1.0,6.0
32,3020361138.0,24.0106,24.14031,0.6907405,1.632421,0.03989173,0.0,0.1877844,4.985449,0.459,1.0,6.0
