Trajectory Type,Speed,Wind X,Wind Y,Motor Affected,Full Loss,Partial Loss,Turbulence,Saturation RPM,Mean TTE,Sum TTE,Max TTE,Median TTE,Std TTE,TTF,TTC,Completed,TOC,Cross Corridor,Variance,Final SOC
square,4.41209217603922,0,0,NaN,0,0,0,0,0.756721305926602,7321.27863483988,2.00883034715743,0.592791507882637,0.709286971694891,NaN,96.74,1,1.02,3,0.000901247667003519,0.916743023547784
square,3.55384596992178,0,0,NaN,0,0,1,0,0.775646841538311,9061.88204969209,2.00859267368551,0.633739583457469,0.705950666816499,NaN,116.82,1,0.91,3,0.000605312553358633,0.904743632451236
square,4.38965724595163,0.485658906179238,4.11728914163646,NaN,0,0,0,0,0.892913595040147,8826.45088697185,2.01211655615984,0.716520514343003,0.654511938735266,98.85,NaN,0,1.46,1,0.000872755863462358,0.918339446658773
square,4.90044409767671,0.485658906179238,4.11728914163646,NaN,0,0,1,0,0.865316189659743,7831.11151642067,2.00430740648382,0.682340792248674,0.652122354955462,NaN,90.49,1,0.4,1,0.00106020529723174,0.924821675817605
triangle,4.531033576298,7.19372179828199,6.90779228546504,NaN,0,0,0,0,5.35047534976178,26158.4739849853,79.2229474554699,1.37700650814954,17.0997533293602,48.89,NaN,0,6.67,2,0.00101755074177538,0.954575866047597
square,3.37374520910876,7.19372179828199,6.90779228546504,NaN,0,0,1,0,1.51686861358775,19892.2149985898,2.65021557415049,1.48869766287549,0.709124189981569,NaN,131.13,1,45.98,2,0.000496968045699877,0.893619331979201
triangle,4.41872966171614,12.2279310035545,13.2315650505563,NaN,0,0,0,0,10.4376442635405,79816.665683294,102.165820446813,7.8455508621279,17.3195576219144,76.47,NaN,0,69.52,1,0.000122239516215076,0.9285209088265
triangle,3.55205015399716,12.2279310035545,13.2315650505563,NaN,0,0,1,0,13.6348810519769,131167.555720018,105.739256975597,10.1348179279374,16.4978157471529,96.2,NaN,0,89.05,1,0.000242214615782907,0.913559510061634
square,3.23799536311675,0,0,1,1,0,0,0,4.04592036125556,13424.3637586459,102.372525172281,1.02232682472192,17.1591442119021,33.18,NaN,0,1.08,1,0.000282308603289921,0.965245291369955
square,4.91948791703216,0,0,1,1,0,1,0,5.11374316185274,12492.8745444063,101.947840093793,0.769811952055403,20.1910875916364,24.43,NaN,0,1.13,1,0.000584940430034413,0.974211892183385
square,4.50253411861131,2.92633875489889,1.11905969745568,1,1,0,0,0,4.71162132465864,12556.4708302153,100.364993625465,0.819842755666582,19.0724579343201,26.65,NaN,0,1.11,1,0.000491957006238851,0.970649409510151
triangle,4.01191410333028,2.92633875489889,1.11905969745568,1,1,0,1,0,2.67077764146998,10819.3202255949,113.988231882836,1.14518848035201,13.3866464029476,40.51,NaN,0,0.58,1,0.000431228720064167,0.957691377042897
square,4.09443105992761,9.45451626267899,9.79645712602722,1,1,0,0,0,23.9441264806379,10703.0245368451,104.405580413097,1.88177188160331,42.4917412317019,4.47,NaN,0,2.18,1,0.00017410555704778,0.995092995755036
square,3.29858801111811,9.45451626267899,9.79645712602722,1,1,0,1,0,23.2465725214716,10832.9027950058,104.307639003285,1.95104460142747,41.9763298248814,4.66,NaN,0,2.3,1,0.00014356738796167,0.995092761059206
square,4.62856965213763,14.2035862799183,11.2714108948577,1,1,0,0,0,25.8493894469335,11322.0325777569,111.384878392566,3.61413624425607,43.4591376561224,4.38,NaN,0,2.71,1,0.000547857036526203,0.995093181709446
square,4.85852724637446,14.2035862799183,11.2714108948577,1,1,0,1,0,24.7583148583219,11289.7915753948,111.418701320677,3.58716714696916,42.6662987284533,4.56,NaN,0,2.83,1,0.000469299856297039,0.995093268809291
square,4.23208935229328,0,0,2,1,0,0,0,1.17852603719726,12505.3397807002,2.19064224103317,1.27180690451769,0.596614372376576,NaN,106.1,1,11.13,2,0.000792627169805985,0.889677236640848
triangle,3.70331901412599,0,0,2,1,0,1,0,1.63285998248358,19530.6382504861,3.66251755317963,1.45603865469882,1.11117678452174,NaN,119.6,1,45.94,2,0.000647843699693759,0.875375696555787
square,4.83438732765962,2.92632045576362,2.7486180414557,2,1,0,0,0,0.996478211082621,9557.22252249341,1.9418738470288,1.10419682835625,0.511790816165125,NaN,95.9,1,0,0,0.00098797942479635,0.899326369872928
triangle,4.51440045822144,2.92632045576362,2.7486180414557,2,1,0,1,0,1.16281522505714,11560.7089675181,2.69293808086195,1.09922690520454,0.753185919518639,NaN,99.41,1,16.71,1,0.00093694650345141,0.896266930939435
square,3.15170857912613,6.90222923487678,7.83910820362611,2,1,0,0,0,0.804098903410657,11070.8337021579,2.01201797683353,0.642571810196038,0.552840001969106,NaN,137.67,1,0.25,1,0.000442455088638916,0.857331063476324
triangle,4.06159510601795,6.90222923487678,7.83910820362611,2,1,0,1,0,0.6023890996912,6594.35347431956,1.97665204271742,0.570738004613784,0.371634106383664,NaN,109.46,1,0,0,0.000750260207036684,0.885007507505018
