Volt,Curr,SOC
24.34177,0,0.01252884
24.34136,0,0.01252884
24.38731,0,0.01252884
24.42244,0,0.01252884
24.38111,0,0.01252884
24.42551,0,0.01252884
24.41217,0,0.01252884
24.38008,0,0.01252884
24.3554,0,0.01252884
24.35126,0,0.01252884
24.36871,0,0.01252884
24.35449,0,0.01252884
24.35607,0,0.01252884
24.42119,0,0.01252884
24.39831,0,0.01252884
24.43569,0,0.01252884
24.40645,0,0.01252884
24.37831,0,0.01252884
24.3368,0,0.01252884
24.38263,0,0.01252884
24.38047,0,0.01252884
24.37521,0,0.01252884
24.39977,0,0.01252884
24.40493,0,0.01252884
24.41539,0,0.01252884
24.39734,0,0.01252884
24.42025,0,0.01252884
24.32117,0,0.01252884
24.33704,0,0.01252884
24.37503,0,0.01252884
24.37837,0,0.01252884
24.35035,0,0.01252884
24.38391,0,0.01252884
24.38615,0,0.01252884
24.42627,0,0.01252884
24.42396,0,0.01252884
24.42772,0,0.01252884
24.38694,0,0.01252884
24.36591,0,0.01252884
24.33729,0,0.01252884
24.37132,0,0.01252884
24.37078,0,0.01252884
24.37765,0,0.01252884
24.39411,0,0.01252884
24.42615,0,0.01252884
24.43028,0,0.01252884
24.42305,0,0.01252884
24.36944,0,0.01252884
24.34312,0,0.01252884
24.36974,0,0.01252884
24.36026,0,0.01252884
24.37534,0,0.01252884
24.38627,0,0.01252884
24.39782,0,0.01252884
24.42967,0,0.01252884
24.42189,0,0.01252884
24.41259,0,0.01252884
24.3475,0,0.01252884
24.35271,0,0.01252884
24.39266,0,0.01252884
24.38105,0,0.01252884
24.36646,0,0.01252884
24.41314,0,0.01252884
24.38208,0,0.01252884
24.43052,0,0.01252884
24.44672,0,0.01252884
24.42979,0,0.01252884
24.36713,0,0.01252884
24.35169,0,0.01252884
24.34379,0,0.01252884
24.36859,0,0.01252884
24.36446,0,0.01252884
24.37479,0,0.01252884
24.39546,0,0.01252884
24.44298,0,0.01252884
24.43241,0,0.01252884
24.42961,0,0.01252884
24.35886,0,0.01252884
24.33771,0,0.01252884
24.3915,0,0.01252884
24.36591,0,0.01252884
24.37723,0,0.01252884
24.39047,0,0.01252884
24.4143,0,0.01252884
24.41691,0,0.01252884
24.43976,0,0.01252884
24.42299,0,0.01252884
24.35814,0,0.01252884
24.34251,0,0.01252884
24.39316,0,0.01252884
24.38676,0,0.01252884
24.38342,0,0.01252884
24.39551,0,0.01252884
24.40025,0,0.01252884
24.44085,0,0.01252884
24.44389,0,0.01252884
24.43629,0,0.01252884
24.36399,0,0.01252884
24.37315,0,0.01252884
24.34452,0,0.01252884
24.3946,0,0.01252884
24.37236,0,0.01252884
24.42639,0,0.01252884
24.38682,0,0.01252884
24.41396,0,0.01252884
24.42748,0,0.01252884
24.43751,0,0.01252884
24.41107,0,0.01252884
24.32288,0,0.01252884
24.38153,0,0.01252884
24.37418,0,0.01252884
24.36973,0,0.01252884
24.41648,0,0.01252884
24.39527,0,0.01252884
24.40214,0,0.01252884
24.44116,0,0.01252884
24.44195,0,0.01252884
24.3881,0,0.01252884
24.3489,0,0.01252884
24.3621,0,0.01252884
24.38427,0,0.01252884
24.36877,0,0.01252884
24.39946,0,0.01252884
24.37345,0,0.01252884
24.33133,0,0.01252884
24.36762,0,0.01252884
24.39512,0,0.01252884
24.36397,0,0.01252884
24.37078,0,0.01252884
24.33704,0,0.01252884
24.385,0,0.01252884
24.36725,0,0.01252884
24.35455,0,0.01252884
24.3234,0,0.01252884
24.34811,0,0.01252884
24.37071,0,0.01252884
24.3619,0,0.01252884
24.38853,0,0.01252884
24.34847,0,0.01252884
24.36591,0,0.01252884
24.35122,0,0.01252884
24.37132,0,0.01252884
24.37187,0,0.01252884
24.37187,0,0.01252884
24.38336,0,0.01252884
24.33577,0,0.01252884
24.37199,0,0.01252884
24.37029,0,0.01252884
24.26033,2.557034,0.012991
24.17276,8.707346,0.01320361
24.10779,13.28993,0.01320361
24.20254,10.60146,0.01320361
24.16662,8.050138,0.01328702
24.25827,4.773138,0.01343759
24.29389,3.338847,0.01358961
24.27411,3.22524,0.01367905
24.27724,3.058534,0.01375441
24.24928,3.400893,0.01377747
24.2683,3.032833,0.01382016
24.2381,2.874203,0.0138008
24.28089,4.439614,0.01389356
24.12712,11.94037,0.0139001
24.02962,21.11718,0.01385466
23.96366,26.12677,0.01381194
23.91414,31.65057,0.01373215
23.85209,38.38188,0.01361656
23.77557,43.99435,0.01352423
23.65924,49.93732,0.01351133
23.70738,49.99053,0.0134185
23.79362,44.37526,0.01332568
23.75667,45.69463,0.01328277
23.72889,47.56993,0.01325261
23.83811,38.92423,0.01323704
23.85306,34.93641,0.01318604
23.76445,41.93016,0.01322225
23.67832,46.89304,0.01328684
23.74773,45.23888,0.01325971
23.7562,43.40644,0.01326407
23.73314,43.78733,0.01329811
23.70045,46.59085,0.0133186
23.7822,40.23122,0.01329669
23.77849,38.52103,0.01323379
23.65815,45.7218,0.01332823
23.6703,47.91088,0.01333651
23.78274,39.71075,0.01333488
23.8078,38.20513,0.01334195
23.75539,39.87259,0.01334195
23.76986,39.78846,0.0133269
23.74305,40.68622,0.0133269
23.70251,42.26067,0.01339127
23.71376,43.35561,0.01340103
23.73454,44.31241,0.01335234
23.76728,38.52685,0.0133175
23.7371,38.87563,0.0133175
23.7478,39.11137,0.01328087
23.75156,39.97319,0.01327615
23.71595,42.45825,0.01328451
23.5234,52.89124,0.01338263
23.50717,58.13485,0.01337157
23.63347,51.35013,0.01330248
23.71379,42.64564,0.01329954
23.70185,41.31813,0.01324708
23.53185,53.74805,0.01329949
23.48711,59.28601,0.01329366
23.68258,44.32044,0.01329253
23.65413,40.27198,0.01315285
23.55774,52.69627,0.0131547
23.48709,57.29733,0.01317332
23.63456,46.12078,0.01315847
23.68319,39.83444,0.01308865
23.5668,48.10566,0.01315967
23.57141,51.64249,0.01313248
23.64326,43.39075,0.01309337
23.73254,34.40028,0.01301308
23.74188,35.58496,0.01298939
23.65365,43.55018,0.01299565
23.58862,47.14324,0.01302137
23.63572,43.77206,0.01302137
23.67425,41.3105,0.01301905
23.59293,44.06121,0.01309774
23.60332,44.50377,0.01313596
23.64362,43.47689,0.01314936
23.60014,44.74419,0.01318344
23.58807,44.97403,0.01322703
23.56886,46.8571,0.01325368
23.59755,45.68224,0.01325366
23.62089,43.92667,0.01325379
23.57731,44.34554,0.01325379
23.56618,46.47499,0.01327831
23.6204,45.56879,0.01327831
23.62539,44.35116,0.01330177
23.57865,46.22801,0.01331897
23.52431,49.48051,0.01335185
23.53555,49.73573,0.01335434
23.55646,45.4959,0.01335434
23.60952,41.94823,0.01331201
23.58237,44.37383,0.01328567
23.38768,57.38106,0.01334449
23.33359,66.78156,0.01328028
23.4983,53.85607,0.01323873
23.56807,45.19651,0.013206
23.49805,50.29354,0.01323708
23.4075,55.30261,0.01329929
23.48012,50.84232,0.01329929
23.55428,46.6078,0.01329974
23.52097,47.38319,0.01326567
23.49453,50.22627,0.01327706
23.46803,52.47781,0.01328146
23.4529,50.79533,0.01334123
23.51452,47.65205,0.01332094
23.49897,49.0739,0.01330917
23.48851,50.60767,0.01330406
23.4563,52.01677,0.01331998
23.45666,52.44447,0.01332412
23.47915,49.26867,0.01332412
23.50158,48.09442,0.01330666
23.47113,50.53369,0.01331815
23.49216,49.49939,0.01331944
23.49222,46.08082,0.01325243
23.50006,47.27617,0.01323237
23.44444,52.59647,0.0132269
23.47496,50.33329,0.01322149
23.49404,48.19501,0.01321223
23.48535,49.39056,0.01321517
23.46001,47.75969,0.01321517
23.48012,47.58741,0.01318541
23.49701,47.7191,0.01318855
23.50316,46.224,0.01317084
23.49562,44.82323,0.01311723
23.51768,44.965,0.0131086
23.49216,46.44286,0.0131086
23.51027,46.56454,0.01312446
23.52863,45.35916,0.01314146
23.44697,45.76558,0.01314146
23.46979,47.82374,0.01315024
23.47642,48.55143,0.01313329
23.48243,47.45729,0.01313172
23.49125,45.92762,0.01311615
23.46742,48.96607,0.0131051
23.42409,48.01068,0.01317956
23.51416,45.31057,0.01319917
23.49641,45.79659,0.01319848
23.45448,48.47874,0.01320884
23.42257,51.11681,0.01321306
23.46177,47.37155,0.01321306
23.51744,43.82407,0.01321049
23.50711,45.28788,0.01322185
23.4614,47.36633,0.0132397
23.46681,45.82882,0.0132397
23.48513,44.25224,0.01320482
23.49422,46.26415,0.01322927
23.43734,49.20622,0.0132358
23.41363,48.38557,0.01329298
23.41953,48.95924,0.01332027
23.45253,49.1247,0.01329022
23.44846,50.2084,0.01324978
23.42867,48.58521,0.01327804
23.42482,48.16951,0.01331562
23.42056,48.09,0.01331562
23.44153,48.2695,0.01331336
23.47873,45.34109,0.01331256
23.48335,45.55574,0.01332308
23.405,47.97795,0.01338333
23.38815,49.93344,0.01341953
23.4126,51.08307,0.01338988
23.44949,49.46084,0.01338988
23.41892,49.81785,0.01338908
23.41843,49.36506,0.01339822
23.42433,47.5613,0.01339822
23.42664,48.64199,0.01339822
23.40658,50.47264,0.01339487
23.39795,51.79193,0.01337855
23.38646,51.43306,0.01338939
23.39813,50.43028,0.01340103
23.39278,48.74218,0.01340103
23.40281,52.30452,0.01335751
23.40202,51.28668,0.01334292
23.39358,50.38149,0.01336153
23.38235,50.58581,0.01338976
23.43302,47.32014,0.01337665
23.4315,49.22731,0.0134017
23.39321,49.76404,0.01342741
23.36525,49.91042,0.01348776
23.41278,48.53637,0.01348089
23.44153,46.9047,0.0134853
23.43606,47.35809,0.01348991
23.42813,46.01835,0.01345481
23.42524,46.41856,0.01342942
23.42524,45.81658,0.01339622
23.42585,47.32315,0.01339978
23.42433,47.1097,0.01339618
23.43527,46.29045,0.01339313
23.41904,45.91035,0.01339313
23.40848,47.83021,0.01339916
23.44208,47.14625,0.01343073
23.40871,47.50748,0.01344713
23.42178,45.02845,0.01340312
23.40111,45.61698,0.01340312
23.39935,48.14702,0.01340139
23.41071,49.14016,0.013363
23.45481,45.34011,0.01338487
23.45946,44.75637,0.01339831
23.40755,47.40447,0.01341174
23.4081,47.61089,0.01341796
23.35851,49.39116,0.01346163
23.4098,48.70664,0.01343488
23.416,47.49725,0.01344208
23.3818,47.72401,0.01348273
23.37005,49.18253,0.01350474
23.4208,45.87762,0.0134956
23.45557,44.45819,0.01351138
23.41959,46.16235,0.01350507
23.3672,47.69623,0.01355775
23.41163,46.97397,0.01356577
23.41064,46.35257,0.01355835
23.39491,48.35103,0.01354751
23.36969,49.91544,0.01354453
23.39187,48.05727,0.01354653
23.40202,46.09106,0.01352018
23.41011,47.72916,0.01352018
23.39072,47.9133,0.01352602
23.39328,45.1904,0.01352602
23.37856,44.54212,0.01352602
23.38756,47.12497,0.01352855
23.39552,48.05686,0.01352855
23.41351,46.50189,0.0135479
23.40944,46.6539,0.01356099
23.3689,48.27312,0.01357791
23.35283,49.29491,0.01359526
23.40366,48.06771,0.01359526
23.3999,47.12677,0.01360106
23.38859,47.95084,0.01359638
23.38111,48.41348,0.01359426
23.38877,47.86892,0.01359211
23.35468,47.53459,0.01359211
23.37461,49.05523,0.01357804
23.38559,48.47744,0.01357804
23.38306,47.30347,0.01356404
23.39181,48.56147,0.01356404
23.3844,47.2589,0.01354898
23.39686,45.42321,0.01351786
23.34605,48.33236,0.0135609
23.31,52.60833,0.01356387
23.29043,53.67986,0.01357386
23.36562,51.1664,0.01357386
23.36386,50.16904,0.01357386
23.33772,51.78385,0.01356229
23.35753,50.97002,0.01356229
23.40196,44.60216,0.01351845
23.41971,41.83317,0.01345275
23.387,44.94498,0.01341231
23.34404,51.27704,0.01338302
23.38622,46.97055,0.01338416
23.41169,42.54299,0.0133345
23.36167,46.23363,0.0133345
23.34769,50.07888,0.01331387
23.37577,48.11369,0.01331387
23.32022,49.17778,0.01335919
23.28429,53.59062,0.01336238
23.31055,55.27169,0.01329206
23.31511,53.83559,0.01325579
23.2953,56.40739,0.01320436
23.23598,60.77211,0.01316442
23.25573,59.83097,0.01312056
23.28879,55.87508,0.0131126
23.31076,53.39294,0.01310337
23.29639,51.73004,0.01310337
23.29384,53.98599,0.01311445
23.28812,56.19435,0.01308887
23.32921,52.24347,0.0130942
23.36865,45.55775,0.0130266
23.32562,48.23677,0.0129588
23.37289,46.629,0.01294224
23.39206,44.462,0.01291524
23.38847,44.412,0.01288663
23.43843,42.64218,0.01290364
23.41011,40.92236,0.01284204
23.38683,45.08487,0.01283643
23.34933,48.03156,0.01284061
23.36377,46.49112,0.01284061
23.32988,48.77311,0.01285704
23.30247,50.85697,0.01287162
23.33407,51.35234,0.01282683
23.35717,45.49831,0.01278609
23.34343,45.37362,0.01278609
23.33936,48.95342,0.01277095
23.34831,48.9926,0.01277095
23.36337,46.59607,0.01276995
23.32623,47.52254,0.01276995
23.34617,47.97032,0.01276995
23.37668,46.54486,0.0127935
23.36136,47.19103,0.01280252
23.33711,49.75279,0.01278221
23.35522,46.35853,0.01276124
23.33176,48.77306,0.01276767
23.35389,46.12439,0.01274481
23.34142,48.74199,0.01273252
23.30247,51.40816,0.0127298
23.30836,49.44758,0.01275609
23.31633,49.86504,0.01275807
23.29609,52.71555,0.01273557
23.25916,56.34153,0.01270306
23.22412,56.71,0.01272172
23.23124,59.80688,0.01266748
23.17058,64.13646,0.01263155
23.09363,70.89868,0.01259186
23.06227,71.17117,0.01259891
23.11594,69.51239,0.01255864
23.22814,58.73864,0.01255928
23.22885,56.83549,0.01252723
23.09533,63.40998,0.01262566
23.03504,70.57722,0.01266489
23.10597,69.86478,0.01261016
23.30326,52.44146,0.01262379
23.51847,29.50285,0.01253049
23.39473,35.35366,0.01238541
23.13605,62.759,0.01238927
23.1318,69.57282,0.01227982
23.28569,50.37446,0.01225408
23.35358,43.33372,0.012207
23.21288,55.21386,0.01223947
23.27578,55.20402,0.01223947
23.30763,48.6207,0.01222201
23.2749,54.05848,0.01222201
23.10135,61.9548,0.0123028
22.88388,81.85656,0.01232719
22.79502,92.79094,0.01229502
23.10858,71.36273,0.0122152
23.2866,48.87993,0.01217714
23.21604,54.25325,0.01214048
23.27609,54.52493,0.01217849
23.26869,51.62928,0.01216394
23.12037,60.06952,0.01222515
23.20498,57.23528,0.01222804
23.25451,53.24987,0.01223131
23.27955,52.89586,0.01225633
23.46973,35.62896,0.01225396
23.52929,24.84276,0.01217377
23.26849,45.37893,0.01217377
23.22406,56.26683,0.01214247
23.3427,46.1007,0.01216315
23.44153,34.05471,0.01212892
23.3985,36.31468,0.01208402
23.33887,40.19166,0.01203325
23.39169,40.86352,0.01205678
23.42928,36.81138,0.01206417
23.43849,36.10384,0.01207102
23.41369,34.38362,0.01202759
23.43144,34.00933,0.01200594
23.44378,34.95709,0.01201358
23.56041,28.34687,0.01206002
23.58205,23.7695,0.01206213
23.45745,30.75402,0.01202038
23.35587,43.66457,0.01199725
23.28442,49.06406,0.01198538
23.45174,36.58535,0.01201427
23.59548,22.28361,0.01200805
23.48979,26.9951,0.01195002
23.41509,35.17134,0.01197316
23.52547,30.58374,0.01201366
23.48776,31.33633,0.01201639
23.43509,36.03898,0.01200999
23.41849,35.90264,0.01202432
23.50225,29.90284,0.01202492
23.489,30.04922,0.01201304
23.38494,41.49683,0.01198684
23.42907,38.60798,0.01195498
23.52504,28.95019,0.0119604
23.44554,32.39091,0.0119604
23.43333,37.07449,0.01194389
23.38507,38.62585,0.01196223
23.41102,38.40417,0.01195233
23.38276,38.55818,0.01197259
23.39534,39.39751,0.01196502
23.39605,39.22473,0.0119602
23.31693,45.9473,0.01195481
23.22552,59.16232,0.01187862
23.22042,56.25258,0.0118593
23.33997,44.28912,0.0118593
23.33899,45.4188,0.01185274
23.29286,50.98187,0.01182595
23.30277,48.68677,0.01182234
23.32481,46.82779,0.01181929
23.34118,46.60551,0.01181929
23.24582,49.74918,0.01186755
23.31821,49.54818,0.01186755
23.31529,46.56253,0.01186755
23.26406,53.51251,0.01184376
23.21349,56.70357,0.01183783
23.15179,59.76333,0.0118604
23.15058,64.16839,0.011824
23.17556,60.7438,0.0118108
23.14049,60.40405,0.011842
23.13946,61.93332,0.01184944
23.18662,59.27276,0.01183875
23.25062,54.95865,0.01186157
23.20575,56.92317,0.01186585
23.21561,57.12685,0.01186585
23.16754,57.09472,0.01191001
23.22577,54.45444,0.01190208
23.21318,54.98796,0.01188877
23.21872,55.88512,0.01189515
23.18401,57.57141,0.01190562
23.17301,56.37627,0.01190562
23.18069,57.11683,0.01191775
23.18091,58.67398,0.01190762
23.17368,59.88298,0.01189149
23.13077,58.626,0.01194043
23.13855,60.20787,0.01195243
23.21446,55.61546,0.01196512
23.1969,56.29655,0.01196551
23.16611,59.14331,0.01196165
23.1442,61.0723,0.01195719
23.14171,60.4663,0.01196397
23.09661,58.88301,0.01203863
23.18207,57.20677,0.01204678
23.15854,58.8021,0.01204464
23.16894,59.23019,0.01204464
23.16111,57.34953,0.01204464
23.14444,57.53186,0.01204464
23.1662,58.14027,0.01205091
23.16219,57.62703,0.01204514
23.07205,59.52356,0.01212247
23.08743,61.74296,0.01214124
23.15368,59.7352,0.01214124
23.10408,63.12324,0.01212574
23.07264,65.25914,0.01211886
23.06166,65.06274,0.01212756
23.05698,66.05306,0.01212688
23.06683,64.57379,0.01213503
23.15575,57.81859,0.01213574
