Lat,Long,Alt
38.8352609,-77.5061813,57.15
38.8352609,-77.5061814,57.12
38.8352609,-77.5061814,57.13
38.8352609,-77.5061814,57.1
38.835261,-77.5061815,57.08
38.835261,-77.5061815,57.07
38.835261,-77.5061815,57.05
38.835261,-77.5061814,57.04
38.8352609,-77.5061813,57.05
38.8352609,-77.5061813,57.03
38.8352609,-77.5061813,57.03
38.8352609,-77.5061813,57.01
38.8352609,-77.5061813,57
38.8352609,-77.5061814,56.98
38.8352608,-77.5061813,56.95
38.8352607,-77.5061812,56.93
38.8352607,-77.5061812,56.91
38.8352607,-77.5061813,56.89
38.8352607,-77.5061813,56.87
38.8352607,-77.5061813,56.84
38.8352607,-77.5061814,56.83
38.8352606,-77.5061814,56.81
38.8352606,-77.5061814,56.79
38.8352606,-77.5061815,56.77
38.8352606,-77.5061814,56.76
38.8352606,-77.5061815,56.74
38.8352606,-77.5061816,56.72
38.8352607,-77.5061816,56.71
38.8352606,-77.5061816,56.71
38.8352606,-77.5061816,56.7
38.8352605,-77.5061816,56.69
38.8352605,-77.5061817,56.69
38.8352605,-77.5061817,56.68
38.8352606,-77.5061818,56.69
38.8352606,-77.5061818,56.68
38.8352605,-77.5061818,56.67
38.8352605,-77.5061818,56.66
38.8352605,-77.5061819,56.64
38.8352605,-77.5061819,56.62
38.8352606,-77.5061819,56.63
38.8352606,-77.5061819,56.61
38.8352607,-77.5061819,56.61
38.8352606,-77.5061819,56.59
38.8352606,-77.5061818,56.56
38.8352607,-77.5061818,56.54
38.8352608,-77.5061818,56.51
38.8352608,-77.5061819,56.5
38.8352608,-77.5061819,56.5
38.8352607,-77.506182,56.49
38.8352607,-77.5061819,56.46
38.8352608,-77.5061819,56.45
38.8352608,-77.5061819,56.43
38.8352608,-77.5061819,56.41
38.8352609,-77.5061819,56.41
38.835261,-77.5061819,56.39
38.835261,-77.506182,56.37
38.8352611,-77.5061821,56.35
38.8352613,-77.5061822,56.32
38.8352613,-77.5061822,56.31
38.8352614,-77.5061822,56.28
38.8352614,-77.5061821,56.26
38.8352614,-77.5061821,56.25
38.8352614,-77.5061822,56.23
38.8352614,-77.5061822,56.22
38.8352615,-77.5061822,56.2
38.8352615,-77.5061822,56.18
38.8352615,-77.5061823,56.17
38.8352615,-77.5061824,56.18
38.8352615,-77.5061825,56.18
38.8352615,-77.5061825,56.18
38.8352615,-77.5061825,56.16
38.8352615,-77.5061826,56.15
38.8352616,-77.5061826,56.15
38.8352615,-77.5061826,56.16
38.8352615,-77.5061825,56.16
38.8352616,-77.5061825,56.12
38.8352616,-77.5061824,56.11
38.8352616,-77.5061825,56.11
38.8352617,-77.5061825,56.11
38.8352618,-77.5061825,56.09
38.8352617,-77.5061826,56.1
38.8352617,-77.5061826,56.11
38.8352617,-77.5061826,56.09
38.8352617,-77.5061826,56.08
38.8352617,-77.5061827,56.09
38.8352616,-77.506183,56.12
38.8352616,-77.5061834,56.17
38.8352615,-77.5061838,56.29
38.8352614,-77.506184,56.36
38.8352611,-77.5061838,56.49
38.835261,-77.5061832,56.54
38.8352608,-77.5061822,56.66
38.8352606,-77.5061807,56.76
38.8352607,-77.5061786,56.82
38.8352611,-77.5061761,56.87
38.8352619,-77.5061733,56.89
38.835263,-77.5061701,56.9
38.8352644,-77.5061666,56.89
38.835266,-77.506163,56.86
38.8352676,-77.5061591,56.8
38.8352691,-77.5061549,56.78
38.8352706,-77.5061505,56.78
38.835272,-77.5061461,56.79
38.8352733,-77.5061417,56.83
38.8352746,-77.5061374,56.92
38.8352758,-77.506133,56.98
38.8352768,-77.5061284,57.03
38.8352776,-77.5061235,57.14
38.8352785,-77.5061182,57.2
38.8352794,-77.5061128,57.25
38.8352804,-77.5061072,57.28
38.8352816,-77.5061015,57.29
38.8352831,-77.506096,57.29
38.8352847,-77.5060905,57.31
38.8352864,-77.506085,57.3
38.8352881,-77.5060794,57.31
38.8352897,-77.5060736,57.3
38.8352911,-77.5060676,57.27
38.8352923,-77.5060616,57.26
38.8352933,-77.5060555,57.23
38.8352942,-77.5060495,57.25
38.8352952,-77.5060436,57.31
38.8352962,-77.5060378,57.39
38.8352971,-77.5060322,57.51
38.8352979,-77.5060266,57.68
38.835299,-77.5060211,57.85
38.8353002,-77.5060158,57.99
38.8353014,-77.5060107,58.18
38.8353025,-77.5060055,58.38
38.8353034,-77.506,58.6
38.8353043,-77.5059944,58.78
38.8353055,-77.5059886,58.96
38.8353068,-77.5059825,59.15
38.835308,-77.5059762,59.39
38.8353092,-77.5059699,59.61
38.8353105,-77.5059637,59.86
38.8353119,-77.5059575,60.08
38.8353134,-77.5059513,60.31
38.8353149,-77.5059449,60.52
38.8353162,-77.5059382,60.74
38.8353172,-77.5059314,60.97
38.8353181,-77.5059244,61.18
38.8353188,-77.505917,61.44
38.8353193,-77.5059091,61.67
38.8353198,-77.505901,61.9
38.8353205,-77.5058928,62.15
38.8353215,-77.5058847,62.45
38.8353229,-77.5058769,62.67
38.8353245,-77.5058695,62.91
38.8353263,-77.5058623,63.15
38.8353283,-77.5058554,63.36
38.8353306,-77.5058487,63.63
38.8353331,-77.5058424,63.89
38.8353361,-77.5058364,64.14
38.8353395,-77.5058306,64.35
38.8353434,-77.5058251,64.57
38.8353477,-77.5058199,64.77
38.8353523,-77.5058151,64.97
38.8353571,-77.5058107,65.18
38.8353625,-77.5058067,65.39
38.8353684,-77.5058031,65.63
38.8353749,-77.5057996,65.92
38.8353817,-77.5057963,66.12
38.8353888,-77.5057929,66.36
38.835396,-77.5057896,66.57
38.8354033,-77.5057862,66.76
38.8354103,-77.5057825,67.01
38.8354172,-77.5057784,67.21
38.835424,-77.5057741,67.41
38.8354307,-77.5057695,67.6
38.8354374,-77.5057649,67.8
38.835444,-77.50576,68.01
38.8354503,-77.5057547,68.22
38.8354565,-77.5057492,68.41
38.8354626,-77.505743,68.61
38.8354685,-77.5057362,68.83
38.8354742,-77.5057287,69.04
38.8354796,-77.5057208,69.24
38.8354847,-77.5057125,69.43
38.8354896,-77.5057039,69.65
38.8354942,-77.5056952,69.87
38.8354987,-77.5056868,70.11
38.8355034,-77.5056786,70.32
38.8355083,-77.5056702,70.56
38.8355133,-77.5056619,70.76
38.8355185,-77.5056538,70.96
38.8355236,-77.505646,71.18
38.8355286,-77.5056383,71.41
38.8355335,-77.5056309,71.62
38.8355384,-77.5056236,71.84
38.8355432,-77.5056163,72.07
38.8355479,-77.5056087,72.27
38.835552,-77.5056008,72.5
38.8355558,-77.5055925,72.72
38.8355589,-77.5055834,72.95
38.8355615,-77.5055737,73.15
38.8355637,-77.5055637,73.39
38.835566,-77.5055539,73.6
38.8355683,-77.505544,73.84
38.8355708,-77.5055344,74.06
38.8355737,-77.5055254,74.25
38.8355771,-77.5055167,74.48
38.8355813,-77.5055085,74.67
38.8355868,-77.5055009,74.88
38.8355935,-77.5054939,75.12
38.8356012,-77.5054875,75.33
38.8356096,-77.5054819,75.54
38.8356181,-77.5054765,75.77
38.8356266,-77.5054714,75.95
38.8356349,-77.5054668,76.18
38.8356428,-77.5054627,76.42
38.8356505,-77.5054594,76.61
38.8356578,-77.5054569,76.78
38.8356649,-77.5054553,76.97
38.8356721,-77.5054544,77.18
38.8356794,-77.5054538,77.36
38.8356868,-77.5054535,77.58
38.8356942,-77.5054536,77.77
38.8357017,-77.5054542,77.92
38.8357087,-77.5054552,78.13
38.8357153,-77.5054566,78.32
38.8357217,-77.5054584,78.45
38.8357277,-77.5054609,78.62
38.8357332,-77.5054643,78.82
38.8357381,-77.5054683,78.98
38.8357424,-77.5054732,79.18
38.8357463,-77.5054787,79.36
38.8357503,-77.5054848,79.55
38.8357544,-77.5054912,79.77
38.8357587,-77.5054975,79.99
38.8357631,-77.5055042,80.17
38.8357675,-77.5055114,80.42
38.835772,-77.505519,80.62
38.8357766,-77.5055272,80.77
38.8357813,-77.5055362,80.9
38.8357861,-77.5055457,81.1
38.8357911,-77.5055558,81.31
38.8357961,-77.5055662,81.5
38.8358008,-77.5055766,81.69
38.8358052,-77.5055869,81.87
38.8358091,-77.5055974,82.05
38.8358125,-77.5056078,82.18
38.8358153,-77.505618,82.36
38.8358179,-77.5056279,82.54
38.8358207,-77.5056375,82.68
38.8358235,-77.5056466,82.82
38.8358264,-77.5056551,82.99
38.8358295,-77.5056629,83.16
38.8358328,-77.5056702,83.23
38.8358363,-77.5056769,83.31
38.8358399,-77.5056834,83.34
38.8358437,-77.5056895,83.38
