,lat,lng
0,,
1,37.1023025,-76.3872021
2,37.102303,-76.3872022
3,37.1023024,-76.3872022
4,37.1023029,-76.3872021
5,37.1023028,-76.3872022
6,37.1023028,-76.3872022
7,37.1023021,-76.3872021
8,37.1023026,-76.3872021
9,37.102302,-76.387202
10,37.1023025,-76.387202
11,37.1023017,-76.3872018
12,37.1023023,-76.387202
13,37.1023015,-76.3872015
14,37.1023022,-76.3872018
15,37.1023021,-76.3872017
16,37.102302,-76.3872017
17,37.102301,-76.3872012
18,37.1023019,-76.3872016
19,37.1023018,-76.3872016
20,37.1023017,-76.3872016
21,37.1023015,-76.3872016
22,37.1023014,-76.3872016
23,37.1023012,-76.3872016
24,37.1023011,-76.3872015
25,37.102301,-76.3872015
26,37.1023008,-76.3872015
27,37.1023007,-76.3872015
28,37.1023006,-76.3872014
29,37.1023005,-76.3872014
30,37.1023004,-76.3872014
31,37.1023002,-76.3872013
32,37.1023001,-76.3872013
33,37.1023,-76.3872013
34,37.1022999,-76.3872012
35,37.1022988,-76.3872004
36,37.1022998,-76.3872011
37,37.1022983,-76.3872003
38,37.1022996,-76.387201
39,37.1022995,-76.387201
40,37.1022993,-76.387201
41,37.1022992,-76.3872009
42,37.1022991,-76.3872008
43,37.1022989,-76.3872008
44,37.1022988,-76.3872007
45,37.1022986,-76.3872007
46,37.1022985,-76.3872006
47,37.1022984,-76.3872006
48,37.1022983,-76.3872006
49,37.1022982,-76.3872006
50,37.1022981,-76.3872005
51,37.1022981,-76.3872005
52,37.102298,-76.3872004
53,37.1022979,-76.3872004
54,37.1022978,-76.3872003
55,37.1022977,-76.3872003
56,37.1022976,-76.3872002
57,37.1022975,-76.3872002
58,37.1022974,-76.3872002
59,37.1022973,-76.3872002
60,37.1022972,-76.3872002
61,37.1022971,-76.3872002
62,37.1022971,-76.3872001
63,37.102297,-76.3872001
64,37.102297,-76.3872001
65,37.1022969,-76.3872001
66,37.1022968,-76.3872001
67,37.1022968,-76.3872001
68,37.1022967,-76.3872001
69,37.1022967,-76.3872001
70,37.1022966,-76.3872001
71,37.1022966,-76.3872002
72,37.1022966,-76.3872002
73,37.1022966,-76.3872003
74,37.1022967,-76.3872003
75,37.1022968,-76.3872004
76,37.102297,-76.3872004
77,37.1022972,-76.3872003
78,37.1022974,-76.3872003
79,37.1022978,-76.3872002
80,37.1022982,-76.3872001
81,37.1022985,-76.3872001
82,37.1022989,-76.3872002
83,37.1022992,-76.3872003
84,37.1022995,-76.3872005
85,37.1022997,-76.3872006
86,37.1022998,-76.3872007
87,37.1022999,-76.3872008
88,37.1023,-76.3872008
89,37.1023,-76.3872008
90,37.1022999,-76.3872008
91,37.1022999,-76.3872007
92,37.1023016,-76.3871997
93,37.1022997,-76.3872004
94,37.1023016,-76.3871994
95,37.1022995,-76.3872
96,37.1023014,-76.3871992
97,37.1022992,-76.3871996
98,37.1023012,-76.387199
99,37.1022989,-76.3871993
100,37.1023011,-76.3871989
101,37.1022987,-76.3871992
102,37.102301,-76.3871988
103,37.1022986,-76.3871991
104,37.102301,-76.3871987
105,37.1022986,-76.387199
106,37.1023011,-76.3871987
107,37.1022985,-76.3871989
108,37.1022986,-76.3871988
109,37.1022986,-76.3871987
110,37.1022987,-76.3871985
111,37.1022987,-76.3871982
112,37.1022988,-76.3871977
113,37.1022988,-76.3871972
114,37.1022989,-76.3871965
115,37.102299,-76.3871958
116,37.1022991,-76.3871949
117,37.1023021,-76.3871951
118,37.1022993,-76.3871926
119,37.1023028,-76.3871931
120,37.1022996,-76.3871897
121,37.1023037,-76.3871902
122,37.1023002,-76.3871861
123,37.1023047,-76.3871868
124,37.1023011,-76.3871817
125,37.1023058,-76.3871828
126,37.1023024,-76.3871766
127,37.102307,-76.3871782
128,37.1023039,-76.387171
129,37.1023085,-76.3871729
130,37.1023055,-76.3871648
131,37.1023101,-76.387167
132,37.1023073,-76.387158
133,37.1023083,-76.3871543
134,37.1023091,-76.3871506
135,37.1023138,-76.3871535
136,37.1023112,-76.3871425
137,37.1023123,-76.3871383
138,37.1023181,-76.3871377
139,37.1023146,-76.3871294
140,37.1023206,-76.3871291
141,37.1023173,-76.3871202
142,37.1023234,-76.3871201
143,37.1023206,-76.3871106
144,37.1023265,-76.3871111
145,37.1023242,-76.3871011
146,37.1023301,-76.3871019
147,37.1023283,-76.3870913
148,37.1023338,-76.3870927
149,37.1023329,-76.3870814
150,37.1023379,-76.3870833
151,37.1023376,-76.3870716
152,37.1023424,-76.3870737
153,37.1023428,-76.3870616
154,37.102347,-76.3870641
155,37.1023484,-76.3870518
156,37.102352,-76.387055
157,37.1023544,-76.3870424
158,37.1023573,-76.3870463
159,37.1023609,-76.3870338
160,37.1023628,-76.387038
161,37.1023688,-76.3870304
162,37.1023713,-76.3870223
163,37.1023749,-76.3870188
164,37.1023786,-76.3870157
165,37.1023825,-76.3870128
166,37.1023863,-76.3870103
167,37.1023881,-76.3870129
168,37.1023942,-76.3870059
169,37.1023947,-76.3870092
170,37.1024023,-76.3870027
171,37.1024014,-76.3870064
172,37.1024101,-76.3870005
173,37.102408,-76.387004
174,37.1024174,-76.386999
175,37.102414,-76.3870021
176,37.1024242,-76.3869979
177,37.1024198,-76.3870005
178,37.1024302,-76.3869971
179,37.1024253,-76.386999
180,37.1024354,-76.3869962
181,37.1024376,-76.3869957
182,37.1024398,-76.3869951
183,37.1024417,-76.3869944
184,37.1024435,-76.3869937
185,37.102445,-76.3869928
186,37.1024463,-76.386992
187,37.1024474,-76.386991
188,37.1024484,-76.38699
189,37.1024491,-76.3869888
190,37.1024497,-76.3869877
191,37.1024501,-76.3869865
192,37.1024505,-76.3869854
193,37.1024507,-76.3869841
194,37.1024481,-76.38698
195,37.102451,-76.3869817
196,37.1024486,-76.3869773
197,37.1024509,-76.3869793
198,37.102449,-76.3869746
199,37.1024506,-76.3869768
200,37.1024493,-76.3869721
201,37.1024503,-76.3869743
202,37.1024492,-76.3869699
203,37.10245,-76.3869718
204,37.1024491,-76.3869678
205,37.1024497,-76.3869694
206,37.1024493,-76.386966
207,37.1024496,-76.3869672
208,37.1024494,-76.3869643
209,37.1024494,-76.3869652
210,37.1024494,-76.3869627
211,37.1024495,-76.3869635
212,37.1024494,-76.3869613
213,37.1024493,-76.3869619
214,37.1024493,-76.3869612
215,37.1024493,-76.3869606
216,37.1024493,-76.38696
217,37.1024499,-76.3869585
218,37.1024494,-76.3869592
219,37.1024501,-76.3869579
220,37.1024495,-76.3869587
221,37.1024502,-76.3869578
222,37.1024496,-76.3869587
223,37.1024501,-76.3869581
224,37.1024496,-76.3869591
225,37.1024498,-76.3869587
226,37.1024495,-76.38696
227,37.1024495,-76.3869596
228,37.1024492,-76.3869612
229,37.1024493,-76.3869608
230,37.102449,-76.3869625
231,37.1024492,-76.3869623
232,37.1024488,-76.3869638
233,37.1024488,-76.3869645
234,37.1024488,-76.3869651
235,37.1024488,-76.3869657
236,37.1024488,-76.3869663
237,37.1024488,-76.3869669
238,37.1024489,-76.3869674
239,37.1024489,-76.3869678
240,37.1024504,-76.3869687
241,37.1024491,-76.3869685
242,37.102451,-76.3869694
243,37.1024494,-76.386969
244,37.1024516,-76.38697
245,37.1024499,-76.3869693
246,37.1024522,-76.3869705
247,37.1024505,-76.3869695
248,37.1024529,-76.3869708
249,37.1024512,-76.3869697
250,37.1024538,-76.3869709
251,37.1024519,-76.3869698
252,37.1024546,-76.3869708
253,37.1024525,-76.38697
254,37.1024553,-76.386971
255,37.1024528,-76.3869702
256,37.1024554,-76.3869712
257,37.102455,-76.3869713
258,37.1024522,-76.3869707
259,37.1024543,-76.3869712
260,37.1024507,-76.3869711
261,37.1024531,-76.3869711
262,37.1024486,-76.3869716
263,37.1024512,-76.3869709
264,37.102446,-76.386972
265,37.1024487,-76.3869707
266,37.1024429,-76.3869723
267,37.1024457,-76.3869705
268,37.1024394,-76.3869725
269,37.1024422,-76.3869705
270,37.1024356,-76.3869726
271,37.1024383,-76.3869706
272,37.1024315,-76.3869728
273,37.1024342,-76.3869706
274,37.1024272,-76.386973
275,37.1024302,-76.3869707
276,37.1024228,-76.3869732
277,37.1024263,-76.3869709
278,37.1024188,-76.3869732
279,37.1024223,-76.3869712
280,37.1024153,-76.3869731
281,37.102419,-76.3869716
282,37.1024164,-76.3869722
283,37.1024118,-76.3869727
284,37.1024148,-76.3869729
285,37.1024111,-76.3869725
286,37.1024143,-76.3869739
287,37.1024118,-76.3869722
288,37.1024151,-76.386975
289,37.1024138,-76.3869722
290,37.1024166,-76.3869763
291,37.1024169,-76.3869724
292,37.1024192,-76.3869777
293,37.1024206,-76.386973
294,37.1024227,-76.3869791
295,37.102425,-76.3869739
296,37.1024268,-76.3869802
297,37.1024296,-76.3869748
298,37.1024312,-76.386981
299,37.1024342,-76.3869756
300,37.1024356,-76.3869814
301,37.1024384,-76.3869759
302,37.1024398,-76.3869811
303,37.1024421,-76.3869754
304,37.1024437,-76.3869799
305,37.1024452,-76.3869738
306,37.1024472,-76.3869777
307,37.1024503,-76.3869742
308,37.1024489,-76.3869691
309,37.1024528,-76.3869696
310,37.1024506,-76.3869645
311,37.1024549,-76.3869639
312,37.1024519,-76.3869585
313,37.1024566,-76.3869572
314,37.1024527,-76.3869515
315,37.102458,-76.3869498
316,37.1024535,-76.3869439
317,37.1024589,-76.386942
318,37.1024542,-76.3869361
319,37.1024593,-76.386934
320,37.1024548,-76.3869282
321,37.1024593,-76.3869262
322,37.1024552,-76.3869206
323,37.1024594,-76.3869187
324,37.1024556,-76.3869132
325,37.1024595,-76.3869115
326,37.102456,-76.3869064
327,37.1024593,-76.386905
328,37.1024564,-76.3869003
329,37.1024591,-76.3868991
330,37.1024566,-76.3868952
331,37.1024568,-76.386893
332,37.1024569,-76.3868911
333,37.1024569,-76.3868895
334,37.102457,-76.3868881
335,37.1024568,-76.386887
336,37.1024565,-76.3868854
337,37.1024566,-76.3868856
338,37.1024557,-76.3868841
339,37.1024561,-76.3868849
340,37.1024547,-76.3868833
341,37.1024555,-76.3868842
342,37.1024538,-76.3868826
343,37.1024548,-76.3868834
344,37.102453,-76.3868818
345,37.1024541,-76.3868822
346,37.1024522,-76.3868808
347,37.1024534,-76.3868808
348,37.1024514,-76.3868796
349,37.1024526,-76.3868794
350,37.1024508,-76.3868785
351,37.1024519,-76.386878
352,37.10245,-76.3868774
353,37.1024512,-76.386877
354,37.1024491,-76.3868765
355,37.1024486,-76.3868756
356,37.1024499,-76.3868757
357,37.1024481,-76.386875
358,37.1024492,-76.3868748
359,37.1024476,-76.3868744
360,37.1024487,-76.386874
361,37.102447,-76.3868739
362,37.1024483,-76.3868733
363,37.1024465,-76.3868734
364,37.102448,-76.3868726
365,37.1024458,-76.386873
366,37.1024476,-76.3868722
367,37.1024456,-76.3868727
368,37.1024473,-76.3868721
369,37.1024455,-76.3868726
370,37.1024471,-76.3868722
371,37.1024454,-76.3868729
372,37.102447,-76.3868724
373,37.1024451,-76.3868734
374,37.1024469,-76.3868729
375,37.1024447,-76.3868741
376,37.1024469,-76.3868734
377,37.1024446,-76.3868747
378,37.1024446,-76.3868753
379,37.1024467,-76.3868743
380,37.1024444,-76.3868757
381,37.1024467,-76.3868747
382,37.1024443,-76.3868761
383,37.1024467,-76.386875
384,37.1024444,-76.3868763
385,37.1024468,-76.3868751
386,37.1024443,-76.3868765
387,37.1024468,-76.3868751
388,37.1024447,-76.3868763
389,37.1024468,-76.386875
390,37.1024452,-76.3868759
391,37.1024469,-76.3868748
392,37.1024456,-76.3868756
393,37.1024472,-76.3868745
394,37.1024462,-76.3868754
395,37.1024475,-76.3868742
396,37.102447,-76.386875
397,37.102448,-76.3868739
398,37.1024477,-76.3868747
399,37.1024486,-76.3868736
400,37.1024484,-76.3868744
401,37.1024492,-76.3868742
402,37.1024494,-76.386873
403,37.10245,-76.3868739
404,37.1024498,-76.3868727
405,37.1024509,-76.3868737
406,37.1024503,-76.3868724
407,37.1024518,-76.3868736
408,37.102451,-76.3868722
409,37.1024528,-76.3868736
410,37.1024517,-76.3868721
411,37.1024539,-76.3868738
412,37.1024526,-76.3868722
413,37.1024546,-76.3868741
414,37.1024535,-76.3868724
415,37.1024553,-76.3868747
416,37.1024543,-76.3868728
417,37.102456,-76.3868753
418,37.1024549,-76.3868733
419,37.1024567,-76.3868757
420,37.1024553,-76.3868737
421,37.1024572,-76.3868762
422,37.1024557,-76.3868741
423,37.1024577,-76.3868766
424,37.102458,-76.3868769
425,37.102456,-76.3868745
426,37.102458,-76.3868769
427,37.102456,-76.3868746
428,37.102458,-76.3868769
429,37.1024558,-76.3868746
430,37.1024579,-76.3868769
431,37.1024555,-76.3868746
432,37.1024578,-76.386877
433,37.102455,-76.3868746
434,37.1024576,-76.3868771
435,37.1024546,-76.3868747
436,37.1024572,-76.3868772
437,37.1024542,-76.3868748
438,37.1024569,-76.3868775
439,37.1024538,-76.386875
440,37.1024567,-76.3868776
441,37.1024536,-76.386875
442,37.1024565,-76.3868776
443,37.1024534,-76.3868749
444,37.1024563,-76.3868778
445,37.1024534,-76.3868747
446,37.1024561,-76.3868777
447,37.1024558,-76.3868778
448,37.1024535,-76.3868747
449,37.1024556,-76.3868779
450,37.1024536,-76.3868749
451,37.1024555,-76.3868782
452,37.1024535,-76.3868754
453,37.1024552,-76.3868786
454,37.1024534,-76.3868759
455,37.102455,-76.386879
456,37.1024531,-76.3868763
457,37.1024549,-76.3868794
458,37.1024528,-76.3868766
459,37.1024547,-76.3868796
460,37.1024524,-76.3868768
461,37.1024543,-76.3868798
462,37.1024521,-76.3868771
463,37.1024539,-76.3868802
464,37.1024518,-76.3868772
465,37.1024536,-76.3868806
466,37.1024515,-76.3868774
467,37.1024533,-76.3868809
468,37.1024513,-76.3868775
469,37.1024529,-76.3868814
470,37.1024525,-76.3868818
471,37.1024511,-76.3868777
472,37.1024521,-76.386882
473,37.1024508,-76.3868779
474,37.1024517,-76.386882
475,37.1024505,-76.386878
476,37.1024514,-76.3868819
477,37.1024502,-76.3868781
478,37.102451,-76.3868819
479,37.1024499,-76.3868781
480,37.1024507,-76.386882
481,37.1024497,-76.3868782
482,37.1024505,-76.3868821
483,37.1024495,-76.3868783
484,37.10245,-76.3868823
485,37.1024493,-76.3868784
486,37.1024497,-76.3868826
487,37.1024491,-76.3868787
488,37.1024496,-76.3868828
489,37.1024489,-76.386879
490,37.1024495,-76.386883
491,37.1024487,-76.3868794
492,37.1024493,-76.3868833
493,37.1024485,-76.3868798
494,37.102449,-76.3868836
495,37.1024487,-76.3868838
496,37.1024481,-76.3868802
497,37.1024485,-76.3868839
498,37.1024479,-76.3868804
499,37.1024483,-76.386884
500,37.1024478,-76.3868803
501,37.1024483,-76.386884
502,37.1024478,-76.3868803
503,37.1024484,-76.3868839
504,37.1024478,-76.3868803
505,37.1024485,-76.3868839
506,37.1024478,-76.3868801
507,37.1024485,-76.3868838
508,37.1024476,-76.3868798
509,37.1024483,-76.3868836
510,37.1024474,-76.3868795
511,37.1024481,-76.3868833
512,37.1024472,-76.3868792
513,37.1024478,-76.386883
514,37.1024472,-76.3868789
515,37.1024474,-76.3868827
516,37.1024471,-76.3868785
517,37.1024471,-76.3868824
518,37.102447,-76.386882
519,37.1024468,-76.3868781
520,37.1024467,-76.3868778
521,37.1024467,-76.3868777
522,37.102447,-76.386881
523,37.1024467,-76.3868773
524,37.1024473,-76.3868805
525,37.1024468,-76.3868769
526,37.1024477,-76.3868801
527,37.1024471,-76.3868765
528,37.1024481,-76.3868797
529,37.1024474,-76.3868762
530,37.1024487,-76.3868794
531,37.1024478,-76.3868761
532,37.1024492,-76.3868793
533,37.1024481,-76.3868761
534,37.1024495,-76.3868792
535,37.1024485,-76.3868763
536,37.1024499,-76.3868791
537,37.1024488,-76.3868766
538,37.10245,-76.386879
539,37.102449,-76.3868768
540,37.1024502,-76.3868791
541,37.1024503,-76.3868791
542,37.1024492,-76.386877
543,37.1024492,-76.3868769
544,37.1024492,-76.3868769
545,37.1024504,-76.3868789
546,37.1024492,-76.3868767
547,37.1024502,-76.3868786
548,37.1024491,-76.3868765
549,37.1024499,-76.3868784
550,37.1024491,-76.3868762
551,37.1024496,-76.3868783
552,37.1024489,-76.3868761
553,37.1024494,-76.3868784
554,37.1024487,-76.3868763
555,37.1024492,-76.3868786
556,37.1024486,-76.3868766
557,37.1024489,-76.3868787
558,37.1024484,-76.3868767
559,37.1024485,-76.3868786
560,37.1024482,-76.3868766
561,37.1024483,-76.3868785
562,37.1024481,-76.3868764
563,37.102448,-76.3868781
564,37.1024478,-76.3868776
565,37.1024478,-76.3868759
566,37.1024478,-76.3868757
567,37.1024477,-76.3868757
568,37.1024477,-76.3868755
569,37.1024477,-76.3868755
570,37.1024474,-76.386877
571,37.1024477,-76.3868754
572,37.1024472,-76.386877
573,37.1024477,-76.3868754
574,37.1024469,-76.386877
575,37.1024477,-76.3868754
576,37.1024468,-76.3868771
577,37.1024478,-76.3868755
578,37.1024468,-76.3868772
579,37.102448,-76.3868758
580,37.102447,-76.3868775
581,37.1024485,-76.3868764
582,37.1024473,-76.3868781
583,37.1024494,-76.3868774
584,37.1024479,-76.386879
